ensembl	symbol	entrez	uniprot
ENSG00000254726	MEX3A	92312	A1L020
ENSG00000105135	ILVBL	10994	A1L0T0
ENSG00000110900	TSPAN11	441631	A1L157
ENSG00000204334	ERICH2	285141	A1L162
ENSG00000215218	UBE2QL1	134111	A1L167
ENSG00000215595	C20orf202	400831	A1L168
ENSG00000239887	C1orf226	400793	A1L170
ENSG00000224877	C17orf89	284184	A1L188
ENSG00000217442	SYCE3	644186	A1L190
ENSG00000216588	IGSF23	147710	A1L1A6
ENSG00000126822	PLEKHG3	26030	A1L390
ENSG00000164181	ELOVL7	79993	A1L3X0
ENSG00000216649	GAGE12E	729431	A1L429
ENSG00000216649	GAGE12E	26748	A1L429
ENSG00000216649	GAGE12E	729428	A1L429
ENSG00000227488	GAGE12D	100132399	A1L429
ENSG00000227488	GAGE12D	729428	A1L429
ENSG00000237671	GAGE12C	729422	A1L429
ENSG00000237671	GAGE12C	729428	A1L429
ENSG00000130950	NUTM2F	54754	A1L443
ENSG00000185888	PRSS38	339501	A1L453
ENSG00000179954	SSC5D	284297	A1L4H1
ENSG00000186628	FSD2	123722	A1L4K1
ENSG00000173261	PLAC8L1	153770	A1L4L8
ENSG00000174705	SH3PXD2B	285590	A1X283
ENSG00000188343	FAM92A1	137392	A1XBS5
ENSG00000184828	ZBTB7C	201501	A1YPR0
ENSG00000172264	MACROD2	140733	A1Z1Q3
ENSG00000178199	ZC3H12D	340152	A2A288
ENSG00000180440	SERTM1	400120	A2A2V5
ENSG00000172159	FRMD3	257019	A2A2Y4
ENSG00000230453	ANKRD18B	441459	A2A2Z9
ENSG00000189023	MAGEB16	139604	A2A368
ENSG00000158079	PTPDC1	138639	A2A3K4
ENSG00000187862	TTC24	164118	A2A3L6
ENSG00000173681	CXorf23	256643	A2AJT9
ENSG00000232125	DYTN	391475	A2CJ06
ENSG00000162004	CCDC78	124093	A2IDD5
ENSG00000162669	HFM1	164045	A2PYH4
ENSG00000182986	ZNF320	162967	A2RRD8
ENSG00000184465	WDR27	253769	A2RRH5
ENSG00000214128	TMEM213	155006	A2RRL7
ENSG00000151779	NBAS	51594	A2RRP1
ENSG00000185418	TARSL2	123283	A2RTX5
ENSG00000270379	HEATR9	256957	A2RTY3
ENSG00000276986	HEATR9	256957	A2RTY3
ENSG00000150433	TMEM218	219854	A2RU14
ENSG00000135426	TESPA1	9840	A2RU30
ENSG00000179256	SMCO3	440087	A2RU48
ENSG00000188266	HYKK	123688	A2RU49
ENSG00000188816	HMX2	3167	A2RU54
ENSG00000084444	FAM234B	57613	A2RU67
ENSG00000180336	MEIOC	284071	A2RUB1
ENSG00000180376	CCDC66	285331	A2RUB6
ENSG00000162971	TYW5	129450	A2RUC4
ENSG00000221986	MYBPHL	343263	A2RUH7
ENSG00000170160	CCDC144A	9720	A2RUR9
ENSG00000105339	DENND3	22898	A2RUS2
ENSG00000183396	TMEM89	440955	A2RUT3
ENSG00000204140	CLPSL1	340204	A2RUU4
ENSG00000222046	DCDC2B	149069	A2VCK2
ENSG00000148803	FUOM	282969	A2VDF0
ENSG00000121210	KIAA0922	23240	A2VDJ0
ENSG00000162727	OR2M5	127059	A3KFT3
ENSG00000102763	VWA8	23078	A3KMH1
ENSG00000139697	SBNO1	55206	A3KN83
ENSG00000274764	PRAMEF27	101929983	A3QJZ7
ENSG00000282437	PRAMEF27	101929983	A3QJZ7
ENSG00000091128	LAMB4	22798	A4D0S4
ENSG00000214194	LINC00998	401397	A4D0T7
ENSG00000106034	CPED1	79974	A4D0V7
ENSG00000275356	C7orf77	154872	A4D0Y5
ENSG00000214960	ISPD	729920	A4D126
ENSG00000188732	FAM221A	340277	A4D161
ENSG00000186088	GSAP	54103	A4D1B5
ENSG00000182348	ZNF804B	219578	A4D1E1
ENSG00000105793	GTPBP10	85865	A4D1E9
ENSG00000105793	GTPBP10	101927446	A4D1E9
ENSG00000240720	LRRD1	401387	A4D1F6
ENSG00000105875	WDR91	29062	A4D1P6
ENSG00000188883	KLRG2	346689	A4D1S0
ENSG00000146955	RAB19	401409	A4D1S5
ENSG00000165076	PRSS37	136242	A4D1T9
ENSG00000257093	KIAA1147	57189	A4D1U4
ENSG00000262599	KIAA1147	57189	A4D1U4
ENSG00000275572	GRIFIN	402635	A4D1Z8
ENSG00000164500	C7orf72	100130988	A4D263
ENSG00000214309	MBLAC1	255374	A4D2B0
ENSG00000221933	OR2A25	392138	A4D2G3
ENSG00000271079	CTAGE15	441294	A4D2H0
ENSG00000215045	GRID2IP	392862	A4D2P6
ENSG00000014914	MTMR11	10903	A4FU01
ENSG00000236761	CTAGE9	643854	A4FU28
ENSG00000214193	SH3D21	79729	A4FU49
ENSG00000176927	EFCAB5	374786	A4FU69
ENSG00000197774	EME2	197342	A4GXA9
ENSG00000151812	SLC35F4	341880	A4IF30
ENSG00000215217	C5orf49	134121	A4QMS7
ENSG00000100068	LRP5L	91355	A4QPB2
ENSG00000163092	XIRP2	129446	A4UGR9
ENSG00000196604	POTEF	728378	A5A3E0
ENSG00000139914	FITM1	161247	A5D6W6
ENSG00000157322	CLEC18A	348174	A5D8T8
ENSG00000167987	VPS37C	55048	A5D8V6
ENSG00000198003	CCDC151	115948	A5D8V7
ENSG00000105792	CFAP69	79846	A5D8W1
ENSG00000222028	PSMB11	122706	A5LHX3
ENSG00000059915	PSD	5662	A5PKW4
ENSG00000133619	KRBA1	84626	A5PL33
ENSG00000121446	RGSL1	353299	A5PLK6
ENSG00000189127	ANKRD34B	340120	A5PLL1
ENSG00000240849	TMEM189	387521	A5PLL7
ENSG00000109794	FAM149A	25854	A5PLN7
ENSG00000113597	TRAPPC13	80006	A5PLN9
ENSG00000186038	HTR3E	285242	A5X5Y0
ENSG00000125107	CNOT1	23019	A5YKK6
ENSG00000213214	ARHGEF35	445328	A5YM69
ENSG00000172508	CARNS1	57571	A5YM72
ENSG00000157890	MEGF11	84465	A6BM72
ENSG00000187492	CDHR4	389118	A6H8M9
ENSG00000145734	BDP1	55814	A6H8Y1
ENSG00000273873	BDP1	55814	A6H8Y1
ENSG00000204930	FAM221B	392307	A6H8Z2
ENSG00000164241	C5orf63	401207	A6NC05
ENSG00000203909	DPPA5	340168	A6NC42
ENSG00000180061	TMEM150B	284417	A6NC51
ENSG00000181626	ANKRD62	342850	A6NC57
ENSG00000234465	PINLYP	390940	A6NC86
ENSG00000168071	CCDC88B	283234	A6NC98
ENSG00000206127	GOLGA8O	728047	A6NCC3
ENSG00000258102	MAP1LC3B2	643246	A6NCE7
ENSG00000185271	KLHL33	123103	A6NCF5
ENSG00000175267	VWA3A	101930115	A6NCI4
ENSG00000175267	VWA3A	146177	A6NCI4
ENSG00000187833	C2orf78	388960	A6NCI8
ENSG00000183397	C19orf71	100128569	A6NCJ1
ENSG00000205835	GMNC	647309	A6NCL1
ENSG00000204583	LRCOL1	100507055	A6NCL2
ENSG00000164236	ANKRD33B	651746	A6NCL7
ENSG00000189051	RNF222	643904	A6NCQ9
ENSG00000180053	NKX2-6	137814	A6NCS4
ENSG00000204128	C2orf72	257407	A6NCS6
ENSG00000197706	OR6C74	254783	A6NCV1
ENSG00000225327	USP17L3	645836	A6NCW0
ENSG00000268991	FAM231C	100133301	A6NCW3
ENSG00000236125	USP17L4	645402	A6NCW7
ENSG00000183560	IZUMO1R	390243	A6ND01
ENSG00000188522	FAM83G	644815	A6ND36
ENSG00000189181	OR14I1	401994	A6ND48
ENSG00000204653	ASPDH	554235	A6ND91
ENSG00000204033	LRIT2	340745	A6NDA9
ENSG00000187867	PALM3	342979	A6NDB9
ENSG00000183379	SYNDIG1L	646658	A6NDD5
ENSG00000242875	RBMY1B	378948	A6NDE4
ENSG00000224902	GAGE12H	729442	A6NDE8
ENSG00000184207	PGP	283871	A6NDG6
ENSG00000197938	OR5H2	79310	A6NDH6
ENSG00000182053	TRIM49B	283116	A6NDI0
ENSG00000167195	GOLGA6C	653641	A6NDK9
ENSG00000205327	OR6C68	403284	A6NDL8
ENSG00000215186	GOLGA6B	55889	A6NDN3
ENSG00000185105	MYADML2	255275	A6NDP7
ENSG00000274808	TBC1D3B	414059	A6NDS4
ENSG00000205765	C5orf51	285636	A6NDU8
ENSG00000137103	TMEM8B	51754	A6NDV4
ENSG00000205022	PABPN1L	390748	A6NDY0
ENSG00000205718	MBD3L4	653656	A6NDZ8
ENSG00000185958	FAM186A	121006	A6NE01
ENSG00000204347	BTBD17	388419	A6NE02
ENSG00000179698	WDR97	340390	A6NE52
ENSG00000182315	MBD3L3	653657	A6NE82
ENSG00000166965	RCCD1	91433	A6NED2
ENSG00000175985	PLEKHD1	400224	A6NEE1
ENSG00000184206	GOLGA6L4	643707	A6NEF3
ENSG00000205784	ARRDC5	645432	A6NEK1
ENSG00000186212	SOWAHB	345079	A6NEL2
ENSG00000197978	GOLGA6L9	440295	A6NEM1
ENSG00000274320	GOLGA6L9	440295	A6NEM1
ENSG00000204165	CXorf65	158830	A6NEN9
ENSG00000242389	RBMY1E	378950	A6NEQ0
ENSG00000182103	FAM181B	220382	A6NEQ2
ENSG00000224659	GAGE12J	645051	A6NER3
ENSG00000224659	GAGE12J	729396	A6NER3
ENSG00000185038	MROH2A	339766	A6NES4
ENSG00000206536	OR5K3	403277	A6NET4
ENSG00000206260	PRR23A	729627	A6NEV1
ENSG00000274209	ANTXRL	195977	A6NF34
ENSG00000166329	CCDC182	101927581	A6NF36
ENSG00000185290	NUPR2	389493	A6NF83
ENSG00000188324	OR6C6	283365	A6NF89
ENSG00000187791	FAM205C	100129969	A6NFA0
ENSG00000269113	TRABD2B	388630	A6NFA1
ENSG00000204278	TMEM235	283999	A6NFC5
ENSG00000187821	HELT	391723	A6NFD8
ENSG00000165935	SMCO2	341346	A6NFE2
ENSG00000197416	FABP12	646486	A6NFH5
ENSG00000205903	ZNF316	100131017	A6NFI3
ENSG00000204928	GRXCR2	643226	A6NFK2
ENSG00000167281	RBFOX3	146713	A6NFN3
ENSG00000206199	ANKUB1	389161	A6NFN9
ENSG00000170379	TCAF2	285966	A6NFQ2
ENSG00000204595	DPRX	503834	A6NFQ7
ENSG00000186710	CFAP73	387885	A6NFT4
ENSG00000214447	FAM187A	388389	A6NFU0
ENSG00000183571	PGPEP1L	145814	A6NFU8
ENSG00000205639	MFSD2B	388931	A6NFX1
ENSG00000189362	NEMP2	100131211	A6NFY4
ENSG00000205138	SDHAF1	644096	A6NFY7
ENSG00000203795	FAM24A	118670	A6NFZ4
ENSG00000205301	MGAT4D	152586	A6NG13
ENSG00000187806	TMEM202	338949	A6NGA9
ENSG00000188051	TMEM221	100130519	A6NGB7
ENSG00000122574	WIPF3	644150	A6NGB9
ENSG00000185561	TLCD2	727910	A6NGC4
ENSG00000275246	TLCD2	727910	A6NGC4
ENSG00000226372	DCAF8L1	139425	A6NGE4
ENSG00000183463	URAD	646625	A6NGE7
ENSG00000205549	C9orf92	100129385	A6NGG3
ENSG00000179270	C2orf71	388939	A6NGG8
ENSG00000203952	CCDC160	347475	A6NGH7
ENSG00000157999	ANKRD61	100310846	A6NGH8
ENSG00000204450	TRIM64	120146	A6NGJ6
ENSG00000215274	GAGE10	102724473	A6NGK3
ENSG00000229571	PRAMEF25	441873	A6NGN4
ENSG00000276299	PRAMEF25	441873	A6NGN4
ENSG00000282566	PRAMEF25	441873	A6NGN4
ENSG00000142549	IGLON5	402665	A6NGN9
ENSG00000203907	OOEP	441161	A6NGQ2
ENSG00000204839	MROH6	642475	A6NGR9
ENSG00000277781	MROH6	642475	A6NGR9
ENSG00000204978	ERICH4	100170765	A6NGS2
ENSG00000172969	FRG2C	100288801	A6NGY1
ENSG00000187658	C5orf52	100190949	A6NGY3
ENSG00000203870	SMIM9	100132963	A6NGZ8
ENSG00000177462	OR2T8	343172	A6NH00
ENSG00000182327	GLTPD2	388323	A6NH11
ENSG00000184716	SERINC4	619189	A6NH21
ENSG00000166676	TVP23A	780776	A6NH52
ENSG00000141748	ARL5C	390790	A6NH57
ENSG00000185926	OR4C46	119749	A6NHA9
ENSG00000203697	CAPN8	388743	A6NHC0
ENSG00000099974	DDTL	100037417	A6NHG4
ENSG00000275758	DDTL	100037417	A6NHG4
ENSG00000236032	OR5H14	403273	A6NHG9
ENSG00000197385	ZNF860	344787	A6NHJ4
ENSG00000178462	TUBAL3	79861	A6NHL2
ENSG00000182447	OTOL1	131149	A6NHN0
ENSG00000196436	NPIPB15	440348	A6NHN6
ENSG00000173678	SPDYE2B	100310812	A6NHP3
ENSG00000273604	C17orf96	100170841	A6NHQ4
ENSG00000277303	C17orf96	100170841	A6NHQ4
ENSG00000101596	SMCHD1	23347	A6NHR9
ENSG00000205693	MANSC4	100287284	A6NHS7
ENSG00000188620	HMX3	340784	A6NHT5
ENSG00000274070	GATSL2	729438	A6NHX0
ENSG00000189045	ANKDD1B	728780	A6NHY2
ENSG00000185028	LRRC14B	389257	A6NHZ5
ENSG00000189253	TRIM64B	642446	A6NI03
ENSG00000151379	MSGN1	343930	A6NI15
ENSG00000165895	ARHGAP42	143872	A6NI28
ENSG00000222036	POTEM	641455	A6NI47
ENSG00000197599	CCDC154	645811	A6NI56
ENSG00000187616	TMEM8C	389827	A6NI61
ENSG00000187116	LILRA5	353514	A6NI73
ENSG00000274113	LILRA5	353514	A6NI73
ENSG00000274914	LILRA5	353514	A6NI73
ENSG00000275404	LILRA5	353514	A6NI73
ENSG00000278355	LILRA5	353514	A6NI73
ENSG00000198624	CCDC69	26112	A6NI79
ENSG00000278662	GOLGA6L10	647042	A6NI86
ENSG00000204659	CBY3	646019	A6NI87
ENSG00000175970	UNC119B	84747	A6NIH7
ENSG00000184954	OR6C70	390327	A6NIJ9
ENSG00000204950	LRRC10B	390205	A6NIK2
ENSG00000188991	SLC15A5	729025	A6NIM6
ENSG00000172650	AGAP5	729092	A6NIR3
ENSG00000188306	LRRIQ4	344657	A6NIV6
ENSG00000142279	WTIP	126374	A6NIX2
ENSG00000237247	MBD3L5	284428	A6NJ08
ENSG00000165066	NKX6-3	157848	A6NJ46
ENSG00000182700	IGIP	492311	A6NJ69
ENSG00000169519	METTL15	196074	A6NJ78
ENSG00000188368	PRR19	284338	A6NJB7
ENSG00000187808	SOWAHD	347454	A6NJG2
ENSG00000186103	ARGFX	503582	A6NJG6
ENSG00000173237	C11orf86	254439	A6NJI1
ENSG00000205858	LRRC72	100506049	A6NJI9
ENSG00000188032	C19orf67	646457	A6NJJ6
ENSG00000197213	ZSCAN5B	342933	A6NJL1
ENSG00000164853	UNCX	340260	A6NJT0
ENSG00000173557	C2orf70	339778	A6NJV1
ENSG00000204913	LRRC3C	100505591	A6NJW4
ENSG00000205328	OR6C65	403282	A6NJZ3
ENSG00000183246	RIMBP3C	150221	A6NJZ7
ENSG00000102794	IRG1	730249	A6NK06
ENSG00000171433	GLOD5	392465	A6NK44
ENSG00000159915	ZNF233	353355	A6NK53
ENSG00000175536	LIPT2	387787	A6NK58
ENSG00000239388	ASB14	142686	A6NK59
ENSG00000197360	ZNF98	148198	A6NK75
ENSG00000189431	RASSF10	644943	A6NK89
ENSG00000135749	PCNXL2	80003	A6NKB5
ENSG00000183476	SH2D7	646892	A6NKC9
ENSG00000168757	TSPY2	64591	A6NKD2
ENSG00000205476	CCDC85C	317762	A6NKD9
ENSG00000205143	ARID3C	138715	A6NKF2
ENSG00000205116	TMEM88B	643965	A6NKF7
ENSG00000254656	RTL1	388015	A6NKG5
ENSG00000231192	OR5H1	26341	A6NKK0
ENSG00000206432	TMEM200C	645369	A6NKL6
ENSG00000248485	PCP4L1	654790	A6NKN8
ENSG00000267631	CGB1	114335	A6NKQ9
ENSG00000153165	RGPD3	653489	A6NKT7
ENSG00000214300	SPDYE3	441272	A6NKU9
ENSG00000145642	FAM159B	100132916	A6NKW6
ENSG00000187857	OR6C75	390323	A6NL08
ENSG00000198283	OR5B21	219968	A6NL26
ENSG00000186973	FAM183A	440585	A6NL82
ENSG00000187902	SHISA7	729956	A6NL88
ENSG00000187068	C3orf70	285382	A6NLC5
ENSG00000274744	TCEB3CL2	100506888	A6NLF2
ENSG00000205502	C2CD4B	388125	A6NLJ0
ENSG00000172425	TTC36	143941	A6NLP5
ENSG00000223638	RFPL4A	342931	A6NLU0
ENSG00000187135	VSTM2B	342865	A6NLU5
ENSG00000258873	DUXA	503835	A6NLW8
ENSG00000183318	SPDYE4	388333	A6NLX3
ENSG00000185863	TMEM210	100505993	A6NLX4
ENSG00000188124	OR2AG2	338755	A6NM03
ENSG00000185176	AQP12B	653437	A6NM10
ENSG00000238083	LRRC37A2	474170	A6NM11
ENSG00000189420	ZFP92	139735	A6NM28
ENSG00000206422	LRRC30	339291	A6NM36
ENSG00000185758	CLDN24	100132463	A6NM45
ENSG00000185821	OR6C76	390326	A6NM76
ENSG00000244242	IFITM10	402778	A6NMD0
ENSG00000179938	GOLGA8J	653073	A6NMD2
ENSG00000278119	GOLGA8J	653720	A6NMD2
ENSG00000278119	GOLGA8J	653073	A6NMD2
ENSG00000278119	GOLGA8J	728498	A6NMD2
ENSG00000187959	CPSF4L	642843	A6NMK7
ENSG00000204767	FAM196B	100131897	A6NMK8
ENSG00000186329	TMEM212	389177	A6NML5
ENSG00000172538	FAM170B	170370	A6NMN3
ENSG00000196098	OR5K4	403278	A6NMS3
ENSG00000176681	LRRC37A	9884	A6NMS7
ENSG00000109851	DBX1	120237	A6NMT0
ENSG00000175766	EIF4E1B	253314	A6NMX2
ENSG00000188817	SNTN	132203	A6NMZ2
ENSG00000206384	COL6A6	131873	A6NMZ7
ENSG00000196350	ZNF729	100287226	A6NN14
ENSG00000165606	DRGX	644168	A6NNA5
ENSG00000206013	IFITM5	387733	A6NNB3
ENSG00000171561	OR2AT4	341152	A6NND4
ENSG00000183654	MARCH11	441061	A6NNE9
ENSG00000213967	ZNF726	730087	A6NNF4
ENSG00000188199	NUTM2B	729262	A6NNL0
ENSG00000189227	C15orf61	145853	A6NNL5
ENSG00000274600	RIMBP3B	440804	A6NNM3
ENSG00000213471	TTLL13P	440307	A6NNM8
ENSG00000166558	SLC38A8	146167	A6NNN8
ENSG00000242715	CCDC169	728591	A6NNP5
ENSG00000184544	DHRS7C	201140	A6NNS2
ENSG00000205832	C16orf96	342346	A6NNT2
ENSG00000185040	SPDYE16	102723555	A6NNV3
ENSG00000185040	SPDYE16	100505767	A6NNV3
ENSG00000188316	ENO4	387712	A6NNW6
ENSG00000178796	RIIAD1	284485	A6NNX1
ENSG00000273820	USP27X	389856	A6NNY8
ENSG00000182111	ZNF716	441234	A6NP11
ENSG00000189167	ZAR1L	646799	A6NP61
ENSG00000162456	KNCN	148930	A6PVL3
ENSG00000162620	LRRIQ3	127255	A6PVS8
ENSG00000197520	FAM177B	400823	A6PVY3
ENSG00000151136	BTBD11	121551	A6QL63
ENSG00000135976	ANKRD36	375248	A6QL64
ENSG00000250067	YJEFN3	374887	A6XGL0
ENSG00000134590	FAM127A	8933	A6ZKI3
ENSG00000175265	GOLGA8A	23015	A7E2F4
ENSG00000163046	ANKRD30BL	554226	A7E2S9
ENSG00000205129	C4orf47	441054	A7E2U8
ENSG00000214655	ZSWIM8	23053	A7E2V4
ENSG00000078814	MYH7B	57644	A7E2Y1
ENSG00000134909	ARHGAP32	9743	A7KAX9
ENSG00000140323	DISP2	85455	A7MBM2
ENSG00000198933	TBKBP1	9755	A7MCY6
ENSG00000139767	SRRM4	84530	A7MD48
ENSG00000112320	SOBP	55084	A7XYQ1
ENSG00000022976	ZNF839	55778	A8K0R7
ENSG00000181404	WASH1	100287171	A8K0Z3
ENSG00000166535	A2ML1	144568	A8K2U0
ENSG00000178789	CD300LB	124599	A8K4G0
ENSG00000188277	C15orf62	643338	A8K5M9
ENSG00000016490	CLCA1	1179	A8K7I4
ENSG00000214290	COLCA2	120376	A8K830
ENSG00000203965	EFCAB7	84455	A8K855
ENSG00000198089	SFI1	9814	A8K8P3
ENSG00000197162	ZNF785	146540	A8K8V0
ENSG00000196678	ERI2	112479	A8K979
ENSG00000161179	YDJC	150223	A8MPS7
ENSG00000183977	PP2D1	151649	A8MPX8
ENSG00000183185	GABRR3	200959	A8MPY1
ENSG00000267041	ZNF850	342892	A8MQ14
ENSG00000214357	NEURL1B	54492	A8MQ27
ENSG00000212719	C17orf51	339263	A8MQB3
ENSG00000215252	GOLGA8B	23015	A8MQT2
ENSG00000215252	GOLGA8B	440270	A8MQT2
ENSG00000243716	NPIPB5	100132247	A8MRT5
ENSG00000232859	LYRM9	201229	A8MSI8
ENSG00000205078	SYCE1L	100130958	A8MT33
ENSG00000214029	ZNF891	101060200	A8MT65
ENSG00000169689	STRA13	201254	A8MT69
ENSG00000169064	ZBBX	79740	A8MT70
ENSG00000215187	FAM166B	730112	A8MTA8
ENSG00000214415	GNAT3	346562	A8MTJ3
ENSG00000214336	FOXI3	344167	A8MTJ6
ENSG00000214681	IQCF5	389124	A8MTL0
ENSG00000215277	RNF212B	100507650	A8MTL3
ENSG00000221887	HMSD	284293	A8MTL9
ENSG00000214513	NOTO	344022	A8MTQ0
ENSG00000218739	CEBPZOS	105374463	A8MTT3
ENSG00000180386	KRTAP9-7	100505724	A8MTY7
ENSG00000262221	KRTAP9-7	100505724	A8MTY7
ENSG00000214413	BBIP1	92482	A8MTZ0
ENSG00000214700	C12orf71	728858	A8MTZ7
ENSG00000214872	SMTNL1	219537	A8MU46
ENSG00000227140	USP17L5	728386	A8MUK1
ENSG00000249861	LGALS16	148003	A8MUM7
ENSG00000214756	METTL12	751071	A8MUP2
ENSG00000214978	GSG1L2	644070	A8MUP6
ENSG00000214652	ZNF727	442319	A8MUV8
ENSG00000212657	KRTAP16-1	100505753	A8MUX0
ENSG00000263186	KRTAP16-1	100505753	A8MUX0
ENSG00000215372	ZNF705G	100131980	A8MUZ8
ENSG00000253309	SERPINE3	647174	A8MV23
ENSG00000275489	C17orf98	388381	A8MV24
ENSG00000276913	C17orf98	388381	A8MV24
ENSG00000206538	VGLL3	389136	A8MV65
ENSG00000214511	HIGD1C	613227	A8MV81
ENSG00000212659	KRTAP9-6	100507608	A8MVA2
ENSG00000263263	KRTAP9-6	100507608	A8MVA2
ENSG00000214212	C19orf38	255809	A8MVS5
ENSG00000161682	FAM171A2	284069	A8MVW0
ENSG00000188175	HEPACAM2	253012	A8MVW5
ENSG00000214694	ARHGEF33	100271715	A8MVX0
ENSG00000129292	PHF20L1	51105	A8MW92
ENSG00000196289	BECN2	441925	A8MW95
ENSG00000269964	MEI4	101928601	A8MW99
ENSG00000215529	EFCAB8	388795	A8MWE9
ENSG00000164659	KIAA1324L	222223	A8MWY0
ENSG00000212658	KRTAP29-1	100533177	A8MX34
ENSG00000262218	KRTAP29-1	100533177	A8MX34
ENSG00000262542	KRTAP29-1	100533177	A8MX34
ENSG00000214711	CAPN14	440854	A8MX76
ENSG00000215203	GRXCR1	389207	A8MXD5
ENSG00000214376	VSTM5	387804	A8MXK1
ENSG00000182798	MAGEB17	645864	A8MXT2
ENSG00000213965	NUDT19	390916	A8MXV4
ENSG00000214819	CDRT15L2	256223	A8MXV6
ENSG00000213973	ZNF99	7652	A8MXY4
ENSG00000240542	KRTAP9-1	728318	A8MXZ3
ENSG00000215906	LACTBL1	646262	A8MY62
ENSG00000215113	CXorf49B	100132994	A8MYA2
ENSG00000215115	CXorf49	100130361	A8MYA2
ENSG00000215912	TTC34	100287898	A8MYJ7
ENSG00000275571	TTC34	100287898	A8MYJ7
ENSG00000177989	ODF3B	440836	A8MYP8
ENSG00000215262	KCNU1	157855	A8MYU2
ENSG00000214866	DCDC2C	728597	A8MYV0
ENSG00000214686	IQCF6	440956	A8MYZ5
ENSG00000204060	FOXO6	100132074	A8MYZ6
ENSG00000214360	EFCAB9	285588	A8MZ26
ENSG00000214860	EVPLL	645027	A8MZ36
ENSG00000213921	LEUTX	342900	A8MZ59
ENSG00000280774	LEUTX	342900	A8MZ59
ENSG00000237651	C2orf74	339804	A8MZ97
ENSG00000277322	GOLGA6L6	727832	A8MZA4
ENSG00000215131	C16orf90	646174	A8MZG2
ENSG00000172752	COL6A5	256076	A8TX70
ENSG00000185467	KPNA7	402569	A9QM74
ENSG00000125457	MIF4GD	57409	A9UHW6
ENSG00000063438	AHRR	57491	A9YTQ3
ENSG00000267368	UPK3BL	100134938	B0FP48
ENSG00000136286	MYO1G	64005	B0I1T2
